classifier_name,dataset_name,accuracy
TS,gr21,1
TS,fri26,0.940925266903915
TS,bayg29,0.941518202943455
TS,dantzig42,0.881163708086785
TS,eil51,0.809323136149073
TS,berlin52,0.833588102494511
TS,pr76,0.732611724734814
TS,lin105,0.741689563125293
TS,pr226,0.57242284182811
TS,a280,0.515311104216784
TS,att532,0.381804885820093
FPS,gr21,0.987976464568944
FPS,fri26,0.935943060498221
FPS,bayg29,0.932997676219985
FPS,dantzig42,0.868836291913215
FPS,eil51,0.781734284825656
FPS,berlin52,0.810814593511548
FPS,pr76,0.702244772967342
FPS,lin105,0.652203114717564
FPS,pr226,0.499001881692811
FPS,a280,0.453574348060787
FPS,att532,0.328984587142112
LRS,gr21,0.986441545152213
LRS,fri26,0.942348754448399
LRS,bayg29,0.93725793958172
LRS,dantzig42,0.842209072978304
LRS,eil51,0.813693152692701
LRS,berlin52,0.807704829881578
LRS,pr76,0.696595370827549
LRS,lin105,0.644833364968213
LRS,pr226,0.460801128219854
LRS,a280,0.396790685719422
LRS,att532,0.287017332717822
ERS,gr21,1
ERS,fri26,0.936654804270463
ERS,bayg29,0.950426026336173
ERS,dantzig42,0.851084812623274
ERS,eil51,0.774439058391945
ERS,berlin52,0.790998843401443
ERS,pr76,0.697919759028423
ERS,lin105,0.625259680040482
ERS,pr226,0.45561369719626
ERS,a280,0.376669743944957
ERS,att532,0.306277998240348
SRS,gr21,0.980813507290867
SRS,fri26,0.942348754448399
SRS,bayg29,0.941905499612703
SRS,dantzig42,0.860453648915187
SRS,eil51,0.79327876788747
SRS,berlin52,0.784365471074033
SRS,pr76,0.702456120202616
SRS,lin105,0.66407729689115
SRS,pr226,0.507095509579949
SRS,a280,0.450813116275321
SRS,att532,0.338631689196132
EEBS (Proposed),gr21,0.999488360194423
EEBS (Proposed),fri26,0.950889679715302
EEBS (Proposed),bayg29,0.939581719597211
EEBS (Proposed),dantzig42,0.874753451676529
EEBS (Proposed),eil51,0.826653372212254
EEBS (Proposed),berlin52,0.835588030949187
EEBS (Proposed),pr76,0.765202640844512
EEBS (Proposed),lin105,0.718822047523335
EEBS (Proposed),pr226,0.576011988875625
EEBS (Proposed),a280,0.507069300726003
EEBS (Proposed),att532,0.390767004980139
NTS,gr21,0.971859810693272
NTS,fri26,0.952313167259786
NTS,bayg29,0.934546862896979
NTS,dantzig42,0.874260355029586
NTS,eil51,0.795150859337085
NTS,berlin52,0.812848207021649
NTS,pr76,0.732579115143705
NTS,lin105,0.662283856830355
NTS,pr226,0.51407929994769
NTS,a280,0.443149523591455
NTS,att532,0.316967850683178
